id,name,type,code
1,80D #1,Camera,1
2,80D #2,Camera,2
3,80D #3,Camera,3
4,80D #4,Camera,4
5,80D #5,Camera,5
6,Sony 6700 #1,Camera,6
7,Sony 6700 #2,Camera,7
8,Sony A7,Camera,8
9,Magnus Tripod #1,Tripod,9
10,Magnus Tripod #2,Tripod,10
